0,Tufts University,CS,PhD,S16,Accepted,E-mail,16-11-2015,1447650000,3.6,166,163,4.5,TRUE,,American,16-11-2015,1447650000,"Met with professor beforehand. 1 year academic research experience, 1+ year of defense R&D project management"
1,SUNY Stony Brook,CS,MS,S16,Rejected,E-mail,14-11-2015,1447477200,3.5,144,167,3,TRUE,,International,14-11-2015,1447477200,non CS background
2,Columbia (Fu Foundation),CS,MS,S16,Other,Other,14-11-2015,1447477200,,,,,,,International,14-11-2015,1447477200,So there was no actual Nov 15 deadline? Or did someone actually hear from them?
3,Columbia (Fu Foundation),CS,PhD,S16,Other,Other,13-11-2015,1447390800,,,,,,,International,13-11-2015,1447390800,"I haven't found the website with the deadline either. To the poster below, could you provide us the link?"
4,Columbia (Fu Foundation),CS,MS,S16,Other,Other,13-11-2015,1447390800,,,,,,,Other,13-11-2015,1447390800,"Thanks guys! Good to know I'm not the only one waiting. Please post here whenever you hear from them. Also, I didn't see any deadline (Nov 15?) mentioned on their website."
5,Columbia (Fu Foundation),CS,PhD,S16,Other,Other,12/11/15,1447304400,,,,,,,International,12/11/15,1447304400,"The same here! So, lets have hope and best of luck to you all"
6,Columbia (Fu Foundation),CS,MS,S16,Other,Other,12/11/15,1447304400,,,,,,,,12/11/15,1447304400,"To the poster below, it's still ""Complete and submitted"""
7,Columbia (Fu Foundation),CS,PhD,S16,Other,Other,12/11/15,1447304400,,,,,,,International,12/11/15,1447304400,"To the poster below. The same here, still waiting for a response. Btw, which is the status of your application? ""Completed and submitted"" o you got something different?"
8,Columbia (Fu Foundation),CS,MS,S16,Other,Other,12/11/15,1447304400,,,,,,,,12/11/15,1447304400,"To the poster below, don't lose hope! A lot of us are still waiting, there haven't been many accepts yet and we might get accepted this Friday."
9,Columbia (Fu Foundation),CS,MS,S16,Other,Other,12/11/15,1447304400,,,,,,,Other,12/11/15,1447304400,to the poster below. their site says the last day is 15 november. probably going to be a grand rejection day on this friday.
10,Purdue University West Lafayette,CS,MS,S16,Rejected,E-mail,2/11/15,1446440400,3.5,156,169,3.5,TRUE,,International,12/11/15,1447304400,Sorry..the purdue admit below is a reject
11,Northeastern University (NEU),CS,MS,S16,Accepted,E-mail,18-09-2015,1442548800,,158,163,3.5,TRUE,,International,12/11/15,1447304400,"Got early admit, just 2 days post application deadline (15 Sep). Although I have applied June."
12,Purdue University West Lafayette,CS,MS,S16,Accepted,E-mail,31-10-2015,1446264000,3.5,156,169,3.5,TRUE,,International,12/11/15,1447304400,
13,University Of Florida (Gainesville),CS,MS,S16,Accepted,E-mail,31-10-2015,1446264000,3.5,156,169,3.5,TRUE,,International,12/11/15,1447304400,
14,Rutgers (State University Of New Jersey) New Brunswick,CS,MS,S16,Accepted,E-mail,30-10-2015,1446177600,3.5,156,169,3.5,TRUE,,International,12/11/15,1447304400,
15,North Eastern University (NEU),CS,MS,S16,Accepted,E-mail,18-07-2015,1437192000,,158,163,3.5,TRUE,,International,12/11/15,1447304400,
16,Iowa State University,CS,MS,S16,Rejected,E-mail,11/11/15,1447218000,,,,,,,International,12/11/15,1447304400,
17,Iowa Sate University,CS,MS,S16,Rejected,E-mail,11/10/15,1444536000,3.5,144,167,3,TRUE,,International,11/11/15,1447218000,Non cs background..expected
18,Duke University,CS,MS,S16,Accepted,E-mail,4/11/15,1446613200,,156,169,,TRUE,,International,11/11/15,1447218000,Any Indians with an admit from Duke for Spring 2016?
19,Duke,ECE,PhD,S16,Rejected,E-mail,9/11/15,1447045200,3.2,156,147,3.5,TRUE,,International,9/11/15,1447045200,3 conference papers!
20,The University Southern California (USC),ECE,MS,S16,Accepted,Website,8/7/15,1436328000,3.3,147,161,3.5,TRUE,,International,8/11/15,1446958800,I got pretty awesome internships and lor.But i m scared coz the fees are way too high and its spring :) any words??
21,Auburn University,CS,MS,F16,Other,Phone,8/11/15,1446958800,,133,139,2,TRUE,,International,8/11/15,1446958800,
22,Baylor University,CS,MS,S16,Other,Other,6/11/15,1446786000,,,,,,,International,6/11/15,1446786000,Someone know around when they will send the adimissions?
23,University Of Texas Dallas,CS,MS,F16,Accepted,E-mail,4/11/15,1446613200,3.91,157,169,5.5,TRUE,,International with US Degree,6/11/15,1446786000,No news on financial aid
24,"Purdue University, West Lafayatte",CS,MS,S16,Rejected,Website,30-10-2015,1446177600,,162,170,3.5,TRUE,,International,5/11/15,1446699600,I have 63% from University of Pune and 3+ years of work experience.
25,University Of Florida,CS,MS,S16,Rejected,E-mail,27-10-2015,1445918400,,162,170,3.5,TRUE,,International,5/11/15,1446699600,I have 63% from University of Pune and 3+ Work Exp.
26,Rutgers (State University Of New Jersey) New Brunswick,CS,MS,S16,Accepted,E-mail,5/11/15,1446699600,,162,170,3.5,TRUE,,International,5/11/15,1446699600,"I got 63% from University of Pune. Also I have 3+ Yrs of Work Exp."
27,New York Univeristy (NYU),CS,MS,S16,Accepted,E-mail,27-10-2015,1445918400,,,,,,,International,5/11/15,1446699600,
28,Cornell,CS,MEng,S16,Rejected,E-mail,4/11/15,1446613200,,,,,,,International,4/11/15,1446613200,
29,Cornell University (Ithaca),ECE,MS,S16,Other,Other,3/11/15,1446526800,,,,,,,International,3/11/15,1446526800,Does any one hear from ECE?
30,Carleton University,CS,MS,F16,Rejected,E-mail,3/11/15,1446526800,2.8,145,156,3,TRUE,,International,3/11/15,1446526800,"Applied on 3rd Nov for pre-screen application. Recieved a reject within 24 hours even though I demonstrated 2 years work experience. Was thinking of applying to Univ. of Ottawa, but no longer. I am from India."
31,"Illinios, Urbana-Champaign",ECE,PhD,S16,Accepted,E-mail,3/11/15,1446526800,4.8,149,164,2.5,TRUE,,International,3/11/15,1446526800,"I contacted a professor and showed my interest in working with him. I think he helped me in the admission. It's worth noting that I have a full scholarship from my country, so I didn't ask for financial aid."
32,Cornell University,CS,MS,S16,Rejected,E-mail,3/11/15,1446526800,,,,,,,International,3/11/15,1446526800,M.Eng.
33,Columbia University,CS,MS,S16,Accepted,E-mail,2/11/15,1446440400,,,,,,,International,2/11/15,1446440400,
34,Aubrun University,CS,MS,S16,Accepted,Website,29-10-2015,1446091200,,,,,,,,1/11/15,1446350400,accepted via website for the distance learning programming
35,University Of Southern California,CS,MS,S16,Accepted,E-mail,1/11/15,1446350400,,,,,,,International,1/11/15,1446350400,General CS
36,Cornell University (Ithaca),CS,MS,S16,Other,Other,30-10-2015,1446177600,,,,,,,International,30-10-2015,1446177600,"Excet the one report below, does anyone else hear from M.Eng (computer science) from Cornell? Does any one can tell that there are several stages of admission."
37,State University Of New York At Stony Brook (SUNY),CS,MS,S16,Accepted,E-mail,30-10-2015,1446177600,,164,166,4.5,TRUE,,International,30-10-2015,1446177600,
38,Purdue University West Lafayette,CS,MS,S16,Rejected,E-mail,30-10-2015,1446177600,,,,,,,International,30-10-2015,1446177600,I dont think anybody got admission till now.
39,KAUST ( King Abdullah University Of Science And Technology),CS,PhD,S16,Wait listed,E-mail,30-10-2015,1446177600,,,,,,,,30-10-2015,1446177600,
40,Purdue University,CS,PhD,S16,Rejected,Website,29-10-2015,1446091200,,,,,,,International,29-10-2015,1446091200,Anyone got it?
41,Columbia  University,CS,PhD,S16,Other,Other,29-10-2015,1446091200,,,,,,,Other,29-10-2015,1446091200,"To the post below, the same here. I applied on late September and still no news from them. Best of luck!"
42,Iowa State U,CS,MS,S16,Accepted,E-mail,28-10-2015,1446004800,,,,,,,International,29-10-2015,1446091200,
43,University Of Florida ( UFL ),CS,MS,S16,Accepted,E-mail,27-10-2015,1445918400,,,,,,,International,29-10-2015,1446091200,
44,University Of Florida,CS,MS,S16,Accepted,E-mail,23-10-2015,1445572800,,147,167,,TRUE,,International,29-10-2015,1446091200,Admit with AA
45,Columbia  University,CS,PhD,S16,Other,Other,28-10-2015,1446004800,,,,,,,International,28-10-2015,1446004800,Had anyone applied to Spring 2016?
46,Cornell University (Ithaca),CS,MEng,S16,Accepted,E-mail,28-10-2015,1446004800,,,,,,,International,28-10-2015,1446004800,
47,University Of Florida ( UFL ),CS,MS,S16,Rejected,E-mail,27-10-2015,1445918400,3.5,144,167,3,TRUE,,International,28-10-2015,1446004800,expected..non CS background :/
48,Rutgers (State University Of New Jersey) New Brunswick,CS,MS,S16,Accepted,E-mail,28-10-2015,1446004800,3.7,155,165,4.5,TRUE,,International,28-10-2015,1446004800,"Without funding! 2 years R&D Lab Job, 3 R&D Papers, 2 White Papers, Open Source Contribution, Ongoing Independent Research"
49,Iowa Sate University,CS,MS,S16,Accepted,E-mail,27-10-2015,1445918400,3.5,144,167,3,TRUE,,International,27-10-2015,1445918400,
50,National University Of Singapore (NUS),CS,MS,S16,Rejected,Website,27-10-2015,1445918400,3.5,155,160,3.5,TRUE,,International,27-10-2015,1445918400,Area of interest: Crypto. Two years in computer security industry. Generic reject email.
51,McGill Univ,ECE,MS,F16,Accepted,E-mail,26-10-2015,1445832000,,,,,,,International,26-10-2015,1445832000,
52,McGillill,ECE,MS,S16,Accepted,E-mail,23-10-2016,1477195200,,,,,,,International,26-10-2015,1445832000,
53,Virginia Tech Blacksburg Campus,CS,MS,S16,Rejected,Other,23-10-2015,1445572800,,156,163,4,TRUE,,International,23-10-2015,1445572800,No rejection mail or notification. Checked the website to find my application term updated to Fall 2016. Reply received after 10 days of mail stating I was rejected hence moved to Fall to give second chance.
54,University Of Southern California,CS,MS,S16,Accepted,E-mail,22-10-2015,1445486400,3.5,144,167,3,TRUE,,International,23-10-2015,1445572800,Non cs back ground..2.5+ yrs work ex from IBM..but too costly :/
55,Rutgers (State University Of New Jersey) New Brunswick,CS,MS,S16,Accepted,E-mail,23-10-2015,1445572800,,155,170,4,TRUE,,International,23-10-2015,1445572800,Notified via email - recommended for admission | NIT Goa | 2 ieee publications
56,Washington University In  St. Louis (WUSTL),CS,MS,S16,Accepted,E-mail,13-10-2015,1444708800,,155,170,4,TRUE,,International,23-10-2015,1445572800,"8.10/10 NIT Goa | 2 ieee conference publications"
57,Johns Hopkings(JHU),CS,MS,S16,Accepted,E-mail,20-10-2015,1445313600,3.5,166,163,4,TRUE,,International,21-10-2015,1445400000,"Well, This was unexpected to be honest :)"
58,UIC,CS,MS,F15,Accepted,E-mail,10/4/15,1428638400,3.7,152,162,4.5,TRUE,,International,21-10-2015,1445400000,"From NED University, Pakistan. 3 years of industry experience and two research projects on GPU computing."
59,University Of Texas At Dallas,CS,MS,S16,Other,Website,20-10-2015,1445313600,,,,,,,International,20-10-2015,1445313600,"To the person who got admitted, Can you please share your GRE score. Also do you have a CS bachelor's degree?5548"
60,University Of Illinois At Chicago (UIC),CS,MS,S16,Rejected,Website,10/10/15,1444449600,3.46,149,165,3.5,TRUE,,International,20-10-2015,1445313600,Unexpected result. Not sure if anyone got admits for MS CS from UIC.
61,University Of Texas - Dallas (UTD),CS,MS,S16,Accepted,E-mail,17-09-2015,1442462400,3.46,149,165,3.5,TRUE,,International,20-10-2015,1445313600,NO funding
62,(Arizona State University) ASU,CS,MS,S16,Accepted,Website,25-09-2015,1443153600,3.46,,,,,,International,20-10-2015,1445313600,I got 2 pre-requisites
63,John Hopkins University (JHU),CS,MS,S16,Accepted,E-mail,20-10-2015,1445313600,,156,163,4,TRUE,,International,20-10-2015,1445313600,
64,University Of Southern California,CS,MS,S16,Accepted,Website,10/10/15,1444449600,3.6,149,159,3,TRUE,,International,18-10-2015,1445140800,"2 Publications, 2 International Internships2 years of Entrepreneurial background + Work experience"
65,Texas A & M College Station,ECE,MS,S16,Accepted,E-mail,15-10-2015,1444881600,,,,,,,International,16-10-2015,1444968000,2nd Admit
66,The University Of Southern California (USC),ECE,MS,S16,Accepted,E-mail,16-10-2015,1444968000,3.9,156,167,3.5,TRUE,,International,16-10-2015,1444968000,Dream Admit. So excited!!
67,Indiana University - Purdue University - Indianapolis (IUPUI),HCI,MS,S16,Accepted,E-mail,16-10-2015,1444968000,3.1,155,164,3.5,TRUE,,International with US Degree,16-10-2015,1444968000,
68,UMass (Amherst),CS,MS,S16,Other,Website,13-10-2015,1444708800,,152,162,4.5,TRUE,,International,13-10-2015,1444708800,"My SPIRE status has changed to admitted, however, my graduate applicant status still shows applied. When I click on 'admit letter', it shows that I have no admit letters to view. However, I am given the option of confirming my acceptance. Is anyone else facing this issue?"
69,University Of Southern California,ECE,MS,S16,Other,Other,12/10/15,1444622400,,,,,,,Other,12/10/15,1444622400,"To people who get accepted, is it with scholarship or not?"
70,University Of Southern California,CS,MS,S16,Accepted,E-mail,10/10/15,1444449600,4,142,158,3,TRUE,,International,11/10/15,1444536000,The Most awaited result finally...!!! I am so happy for USC admit !!! MS in Computer Science ....USC here I come
71,University Of North Texas (UNT),CS,MS,S16,Rejected,Website,30-09-2015,1443585600,3,151,157,2.5,TRUE,,International,11/10/15,1444536000,
72,Dalhousie University,CS,MS,S16,Other,Other,10/10/15,1444449600,,,,,,,International,10/10/15,1444449600,Anyone knows when this university is going to tell us about the decisions for January 2016?
